#,PLAYER,GP,MIN,PTS,PPG,APG,RPG,SPG,BPG,FGM,FGA,FG%,3 PM',3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
1,Kareem Abdul-Jabbar,"1,560",57446,38387,24.6,3.6,7.9,0.7,2.0,15837,28307,55.9,1,18,5.6,6712,9304,72.1,2975,9394,17440,5660,1160,3189,2527,55.9,59.2
2,Karl Malone,"1,476",54852,36928,25.0,3.6,10.1,1.4,0.8,13528,26210,51.6,85,310,27.4,9787,13188,74.2,3562,11406,14968,5248,2085,1145,4524,51.8,57.7
3,Kobe Bryant,"1,346",48643,33643,25.0,4.7,5.2,1.4,0.5,11719,26200,44.7,1827,5546,32.9,8378,10011,83.7,1499,5548,7047,6306,1944,640,4010,48.2,55
4,LeBron James,"1,198",46234,32543,27.2,7.2,7.4,1.6,0.8,11838,23478,50.4,1727,5028,34.3,7140,9701,73.6,1443,7437,8880,8662,1937,921,4163,54.1,58.6
5,Michael Jordan,"1,072",41010,32292,30.1,5.3,6.2,2.3,0.8,12192,24537,49.7,581,1778,32.7,7327,8772,83.5,1668,5004,6672,5633,2514,893,2924,50.9,56.9
6,Dirk Nowitzki,"1,522",51367,31560,20.7,2.4,7.5,0.8,0.8,11169,23734,47.1,1982,5210,38,7240,8239,87.9,1468,10021,11489,3651,1210,1281,2494,51.2,57.7
7,Wilt Chamberlain,"1,045",47859,31419,30.1,4.4,0.0,,,12681,23497,54,-,-,-,6057,11862,51.1,-,-,23924,4643,-,-,-,54,54.7
8,Shaquille O'Neal,"1,207",41917,28596,23.7,2.5,10.9,0.6,2.3,11330,19457,58.2,1,22,4.5,5935,11252,52.7,4209,8890,13099,3026,739,2732,3310,58.2,58.6
9,Moses Malone,"1,329",45071,27409,20.6,1.4,12.2,0.8,1.3,9435,19225,49.1,8,80,10,8531,11090,76.9,6731,9481,16212,1796,1089,1733,3804,49.1,56.9
10,Elvin Hayes,"1,303",50000,27313,21.0,1.8,7.5,0.7,1.4,10976,24272,45.2,5,34,14.7,5356,7999,67,2778,6973,16279,2398,864,1771,1358,45.2,49.1
11,Hakeem Olajuwon,"1,238",44218,26946,21.8,2.5,11.1,1.7,3.1,10749,20991,51.2,25,124,20.2,5423,7621,71.2,4034,9714,13748,3058,2162,3830,3667,51.3,55.3
12,Oscar Robertson,"1,040",43886,26710,25.7,9.5,0.3,0.1,0.0,9508,19620,48.5,-,-,-,7694,9185,83.8,71,208,7804,9887,77,4,-,48.5,56.4
13,Dominique Wilkins,"1,074",38115,26668,24.8,2.5,6.7,1.3,0.6,9963,21589,46.1,711,2231,31.9,6031,7438,81.1,2950,4219,7169,2677,1378,642,2669,47.8,53.6
14,Tim Duncan,"1,392",47367,26496,19.0,3.0,10.8,0.7,2.2,10285,20334,50.6,30,168,17.9,5896,8468,69.6,3859,11232,15091,4225,1025,3020,3381,50.7,55.1
15,Paul Pierce,"1,343",45879,26397,19.7,3.5,5.6,1.3,0.6,8668,19465,44.5,2143,5816,36.8,6918,8578,80.6,1092,6435,7527,4708,1752,745,3532,50,56.8
16,John Havlicek,"1,270",46471,26395,20.8,4.8,1.6,0.4,0.1,10513,23930,43.9,-,-,-,5369,6589,81.5,610,1389,8007,6114,476,117,204,43.9,49.2
17,Kevin Garnett,"1,462",50412,26071,17.8,3.7,10.0,1.3,1.4,10505,21142,49.7,174,632,27.5,4887,6190,78.9,3209,11453,14662,5445,1859,2037,3179,50.1,54.6
18,Alex English,"1,193",38063,25613,21.5,3.6,5.5,0.9,0.7,10659,21036,50.7,18,83,21.7,4277,5141,83.2,2778,3760,6538,4351,1067,833,2821,50.7,55
19,Carmelo Anthony,"1,064",38128,25551,24.0,3.0,6.5,1.0,0.5,9137,20361,44.9,1362,3925,34.7,5915,7290,81.1,1818,5120,6938,3165,1081,527,2832,48.2,54.2
20,Vince Carter,"1,481",45494,25430,17.2,3.2,4.4,1.0,0.6,9186,21035,43.7,2229,5966,37.4,4829,6053,79.8,1640,4842,6482,4666,1507,863,2557,49,53.7
21,Reggie Miller,"1,389",47620,25279,18.2,3.0,3.0,1.1,0.2,8241,17499,47.1,2560,6486,39.5,6237,7026,88.8,883,3299,4182,4141,1505,299,2409,54.4,61.4
22,Jerry West,932,36571,25192,27.0,6.7,0.1,0.1,0.0,9016,19032,47.4,-,-,-,7160,8801,81.4,30,86,5376,6238,81,23,-,47.4,55
23,Patrick Ewing,"1,183",40594,24815,21.0,1.9,9.8,1.0,2.4,9702,19241,50.4,19,125,15.2,5392,7289,74,2752,8855,11607,2215,1136,2894,3537,50.5,55.3
24,Ray Allen,"1,300",46350,24505,18.9,3.4,4.1,1.1,0.2,8567,18955,45.2,2973,7429,40,4398,4920,89.4,1230,4042,5272,4361,1451,244,2709,53,58
25,Allen Iverson,914,37582,24368,26.7,6.2,3.7,2.2,0.2,8467,19906,42.5,1059,3383,31.3,6375,8168,78,745,2649,3394,5624,1983,164,3262,45.2,51.8
26,Charles Barkley,"1,073",39331,23757,22.1,3.9,11.7,1.5,0.8,8435,15605,54.1,538,2020,26.6,6349,8643,73.5,4260,8286,12546,4215,1648,888,3376,55.8,61.2
27,Robert Parish,"1,611",45704,23334,14.5,1.4,9.1,0.8,1.5,9614,17914,53.7,0,6,0,4106,5694,72.1,4598,10117,14715,2180,1219,2361,3183,53.7,57.1
28,Adrian Dantley,955,34151,23177,24.3,3.0,5.7,1.0,0.2,8169,15121,54,7,41,17.1,6832,8351,81.8,2207,3248,5455,2830,944,150,2503,54,61.7
29,Dwyane Wade,"1,054",35777,23165,22.0,5.4,4.7,1.5,0.8,8454,17617,48,549,1874,29.3,5708,7463,76.5,1258,3675,4933,5701,1620,885,3326,49.5,55.4
30,Elgin Baylor,846,33863,23149,27.4,4.3,0.0,,,8693,20171,43.1,-,-,-,5763,7391,78,-,-,11463,3650,-,-,-,43.1,49.4
31,Kevin Durant,849,31305,22940,27.0,4.1,7.1,1.1,1.1,7814,15859,49.3,1570,4122,38.1,5742,6506,88.3,617,5375,5992,3486,948,941,2653,54.2,61.3
32,Clyde Drexler,"1,086",37538,22195,20.4,5.6,6.1,2.0,0.7,8335,17673,47.2,827,2603,31.8,4698,5962,78.8,2615,4062,6677,6125,2207,719,2977,49.5,54.7
33,Gary Payton,"1,335",47117,21813,16.3,6.7,3.9,1.8,0.2,8708,18698,46.6,1132,3570,31.7,3265,4480,72.9,1392,3877,5269,8966,2445,285,3030,49.6,52.8
34,Larry Bird,897,34443,21791,24.3,6.3,10.0,1.7,0.8,8591,17334,49.6,649,1727,37.6,3960,4471,88.6,1757,7217,8974,5695,1556,755,2816,51.4,56.4
35,Hal Greer,"1,122",39788,21586,19.2,4.0,0.0,,,8504,18811,45.2,-,-,-,4578,5717,80.1,-,-,5665,4540,-,-,-,45.2,50.6
36,Walt Bellamy,"1,043",38940,20941,20.1,2.4,0.7,0.0,0.0,7914,15340,51.6,-,-,-,5113,8088,63.2,264,481,14241,2544,52,48,-,51.6,55.4
37,Pau Gasol,"1,226",41001,20894,17.0,3.2,9.2,0.5,1.6,7980,15729,50.7,179,486,36.8,4755,6311,75.3,3085,8220,11305,3925,606,1941,2638,51.3,56.5
39,David Robinson,987,34273,20790,21.1,2.5,10.6,1.4,3.0,7365,14221,51.8,25,100,25,6035,8201,73.6,3083,7414,10497,2441,1388,2954,2417,51.9,58.3
41,Mitch Richmond,976,34301,20497,21.0,3.5,3.9,1.2,0.3,7305,16038,45.5,1326,3417,38.8,4561,5365,85,881,2920,3801,3398,1211,254,2579,49.7,55.7
42,Joe Johnson,"1,276",44233,20405,16.0,3.9,4.0,0.8,0.2,7822,17719,44.1,1978,5331,37.1,2783,3468,80.2,1067,3992,5059,5001,1071,260,2451,49.7,53
